region_id,month,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,dominant_monthly_component,dominant_monthly_component_label,month_name,regional_loading_mm,normalized_seasonal_profile,dominant_monthly_contribution_mm,reconstructed_total_mm,dominant_monthly_component_fraction
MYS_00_22,4,1,110.75,0.75,22,0,True,K4_C2,May–June southwest mode,Apr,1127.446778758232,0.1771518265910075,199.72925624116834,294.4385998912834,0.678339240557845
MYS_00_22,5,1,110.75,0.75,22,0,True,K4_C3,April–October mode,May,969.2781473658864,0.1287233906059157,124.76876956915731,267.69275708679396,0.466089448690999
MYS_00_22,6,1,110.75,0.75,22,0,True,K4_C3,April–October mode,Jun,969.2781473658864,0.1188687959736476,115.21692634095069,212.4733963472177,0.5422651885917361
MYS_00_22,7,1,110.75,0.75,22,0,True,K4_C3,April–October mode,Jul,969.2781473658864,0.1056946639096819,102.44752802083649,205.8685745599024,0.49763558250619216
MYS_00_22,8,1,110.75,0.75,22,0,True,K4_C3,April–October mode,Aug,969.2781473658864,0.1309179607663566,126.89591846853392,244.02113979195622,0.5200201858606222
MYS_00_22,9,1,110.75,0.75,22,0,True,K4_C3,April–October mode,Sep,969.2781473658864,0.1376209669856309,133.39299591853413,249.90594024220098,0.5337728098389891
MYS_00_22,10,1,110.75,0.75,22,0,True,K4_C2,May–June southwest mode,Oct,1127.446778758232,0.1288721738103939,145.2965172340996,318.9336912456742,0.4555696723874114
MYS_00_22,11,1,110.75,0.75,22,0,True,K4_C2,May–June southwest mode,Nov,1127.446778758232,0.1258092686029743,141.84325462435257,344.4303559671402,0.41181984156438545
MYS_00_22,12,1,110.75,0.75,22,0,True,K4_C1,January eastern mode,Dec,1220.1510918425806,0.1648341306180569,201.12254444654468,410.3713908070325,0.4900988444906429
MYS_00_24,1,1,111.75,0.75,24,0,True,K4_C1,January eastern mode,Jan,1176.7263218210517,0.3142285883169263,369.76105094119816,412.38404609376687,0.8966424730628954
MYS_00_24,2,1,111.75,0.75,24,0,True,K4_C1,January eastern mode,Feb,1176.7263218210517,0.2053666456716191,241.66033758589157,311.56871567217615,0.7756245265656254
MYS_00_24,3,1,111.75,0.75,24,0,True,K4_C2,May–June southwest mode,Mar,1244.715022068054,0.1381761742726676,171.9899598090827,356.5577570570371,0.4823621318146506
MYS_00_24,4,1,111.75,0.75,24,0,True,K4_C2,May–June southwest mode,Apr,1244.715022068054,0.1771518265910075,220.50353974462197,315.4542198144827,0.6990032971323039
MYS_00_24,5,1,111.75,0.75,24,0,True,K4_C3,April–October mode,May,1031.8059125413704,0.1287233906059157,132.81755550955612,286.3826046582508,0.4637766168376442
MYS_00_24,6,1,111.75,0.75,24,0,True,K4_C3,April–October mode,Jun,1031.8059125413704,0.1188687959736476,122.64952650228344,223.12473224905588,0.5496904142629057
MYS_00_24,7,1,111.75,0.75,24,0,True,K4_C3,April–October mode,Jul,1031.8059125413704,0.1056946639096819,109.05637914608278,218.9545320013076,0.498077743124456
MYS_00_24,8,1,111.75,0.75,24,0,True,K4_C3,April–October mode,Aug,1031.8059125413704,0.1309179607663566,135.0819259765859,260.01130891184664,0.5195232720526922
MYS_00_24,9,1,111.75,0.75,24,0,True,K4_C3,April–October mode,Sep,1031.8059125413704,0.1376209669856309,141.9981274254347,268.9286919453098,0.5280140486248744
MYS_00_24,10,1,111.75,0.75,24,0,True,K4_C2,May–June southwest mode,Oct,1244.715022068054,0.1288721738103939,160.40913066836254,341.7504263321526,0.4693750711300017
MYS_00_24,11,1,111.75,0.75,24,0,True,K4_C2,May–June southwest mode,Nov,1244.715022068054,0.1258092686029743,156.5966865455169,361.13786305385867,0.43362023915549025
MYS_00_24,12,1,111.75,0.75,24,0,True,K4_C1,January eastern mode,Dec,1176.7263218210517,0.1648341306180569,193.9646602327569,408.5728802706519,0.4747369920986151
MYS_01_07,1,1,103.25,1.25,7,1,True,K4_C1,January eastern mode,Jan,583.7445018266873,0.3142285883169263,183.42921074676735,237.88252976416032,0.7710915590506849
MYS_01_07,2,1,103.25,1.25,7,1,True,K4_C1,January eastern mode,Feb,583.7445018266873,0.2053666456716191,119.8816502693971,166.1297462129937,0.721614599445049
MYS_01_07,3,1,103.25,1.25,7,1,True,K4_C2,May–June southwest mode,Mar,815.4008175745574,0.1381761742726676,112.66896547125769,216.22615724960852,0.521070007923205
MYS_01_07,4,1,103.25,1.25,7,1,True,K4_C2,May–June southwest mode,Apr,815.4008175745574,0.1771518265910075,144.44974423713376,197.47437769918196,0.7314860080591212
MYS_01_07,5,1,103.25,1.25,7,1,True,K4_C3,April–October mode,May,670.9263135304545,0.1287233906059157,86.36390992436776,186.14090855949615,0.46397060481072755
MYS_01_07,6,1,103.25,1.25,7,1,True,K4_C3,April–October mode,Jun,670.9263135304545,0.1188687959736476,79.75220307640312,142.97352534132662,0.5578109855374089
MYS_01_07,7,1,103.25,1.25,7,1,True,K4_C3,April–October mode,Jul,670.9263135304545,0.1056946639096819,70.91333121676325,149.2042019931739,0.47527703824324957
MYS_01_07,8,1,103.25,1.25,7,1,True,K4_C3,April–October mode,Aug,670.9263135304545,0.1309179607663566,87.83630479189631,175.6319666370406,0.5001157048672011
MYS_01_07,9,1,103.25,1.25,7,1,True,K4_C3,April–October mode,Sep,670.9263135304545,0.1376209669856309,92.33352804416573,185.13868608900657,0.49872627917309414
MYS_01_07,10,1,103.25,1.25,7,1,True,K4_C2,May–June southwest mode,Oct,815.4008175745574,0.1288721738103939,105.08247588760565,240.19552835235916,0.4374872280446996
MYS_01_07,11,1,103.25,1.25,7,1,True,K4_C4,November northern mode,Nov,426.82356684269536,0.2491769875393746,106.35461059667372,284.8265817158667,0.3734012814252339
MYS_01_07,12,1,103.25,1.25,7,1,True,K4_C4,November northern mode,Dec,426.82356684269536,0.3529067798814952,150.62893055198975,315.070990160179,0.4780793384862614
MYS_01_08,1,1,103.75,1.25,8,1,True,K4_C1,January eastern mode,Jan,608.7610094924622,0.3142285883169263,191.29011263520337,254.03819248556513,0.7529974558690532
MYS_01_08,2,1,103.75,1.25,8,1,True,K4_C1,January eastern mode,Feb,608.7610094924622,0.2053666456716191,125.01920653513565,169.0411615188175,0.7395784873450402
MYS_01_08,3,1,103.75,1.25,8,1,True,K4_C2,May–June southwest mode,Mar,739.6086794842339,0.1381761742726676,102.19629778999105,211.27431403263438,0.4837137834663865
MYS_01_08,4,1,103.75,1.25,8,1,True,K4_C2,May–June southwest mode,Apr,739.6086794842339,0.1771518265910075,131.02302853319506,185.15833758149208,0.707626943753095
MYS_01_08,5,1,103.75,1.25,8,1,True,K4_C3,April–October mode,May,668.4738001465813,0.1287233906059157,86.04821408608922,179.82562235316206,0.4785091966321569
MYS_01_08,6,1,103.75,1.25,8,1,True,K4_C3,April–October mode,Jun,668.4738001465813,0.1188687959736476,79.46067576335285,141.72099358788628,0.5606838743624559
MYS_01_08,7,1,103.75,1.25,8,1,True,K4_C3,April–October mode,Jul,668.4738001465813,0.1056946639096819,70.65411363892078,147.4283522594646,0.4792437313182067
MYS_01_08,8,1,103.75,1.25,8,1,True,K4_C3,April–October mode,Aug,668.4738001465813,0.1309179607663566,87.51522674092743,172.87638035321925,0.5062300966859511
MYS_01_08,9,1,103.75,1.25,8,1,True,K4_C3,April–October mode,Sep,668.4738001465813,0.1376209669856309,91.9960107807319,180.91463644871777,0.5085050750264154
MYS_01_08,10,1,103.75,1.25,8,1,True,K4_C2,May–June southwest mode,Oct,739.6086794842339,0.1288721738103939,95.3149782941681,236.2523626603748,0.40344560884323677
MYS_01_08,11,1,103.75,1.25,8,1,True,K4_C4,November northern mode,Nov,496.4910448116653,0.2491769875393746,123.71414288644739,293.3656972818384,0.42170623229884435
MYS_01_08,12,1,103.75,1.25,8,1,True,K4_C4,November northern mode,Dec,496.4910448116653,0.3529067798814952,175.21505586448393,341.4384833717691,0.5131672743335852
MYS_01_09,1,1,104.25,1.25,9,1,True,K4_C1,January eastern mode,Jan,582.4558281804063,0.3142285883169263,183.02427264609526,251.41289750149878,0.7279828300972673
MYS_01_09,2,1,104.25,1.25,9,1,True,K4_C1,January eastern mode,Feb,582.4558281804063,0.2053666456716191,119.61699968529497,161.88389774727256,0.7389061009146001
MYS_01_09,3,1,104.25,1.25,9,1,True,K4_C2,May–June southwest mode,Mar,662.2902113567026,0.1381761742726676,91.51272766350559,198.99464532393108,0.45987532737143594
MYS_01_09,4,1,104.25,1.25,9,1,True,K4_C2,May–June southwest mode,Apr,662.2902113567026,0.1771518265910075,117.32592067518428,170.83429021821416,0.6867820302663986
MYS_01_09,5,1,104.25,1.25,9,1,True,K4_C3,April–October mode,May,685.5833897078296,0.1287233906059157,88.25061846628867,174.44132127287688,0.5059043225672378
MYS_01_09,6,1,104.25,1.25,9,1,True,K4_C3,April–October mode,Jun,685.5833897078296,0.1188687959736476,81.49447207410174,140.44018840352948,0.5802788575015444
MYS_01_09,7,1,104.25,1.25,9,1,True,K4_C3,April–October mode,Jul,685.5833897078296,0.1056946639096819,72.46250595722951,145.86641525541262,0.4967730634248288
